Actual,Predicted
164360.00865493203,143253.63931828088
151223.58681814116,142379.2127665966
56002.43913366059,134252.69548783757
110874.982983899,159363.5400603455
101775.78922914092,131356.48079760792
167950.3951536823,161372.30540635326
214404.5309999759,169860.97787774948
182279.7229888624,155372.86592474626
115706.61525987924,152053.77600277544
194264.4085676316,141775.6230531046
176708.20971933025,161081.8904776741
192281.02521493044,150008.41747365592
211177.90335255623,189442.49197999097
116909.98501363916,135194.95030549774
207953.14031314093,189327.27756838308
210805.3499932989,172446.71522171653
194197.70300486573,153680.35503401695
180077.44852972488,162278.55150239883
128744.20366434132,162478.32812175012
167608.87364414087,139342.5990940666
129374.86080808516,170009.86958181934
168968.33844303357,163840.21303222363
92506.98302921712,137344.87619045266
146979.44618409945,148164.8130516
170670.84327738782,197426.04746003405
175671.4289010316,158443.9159084072
89554.4372452694,161661.38719991964
177571.6605990954,137530.92318767938
100288.91157428893,167549.97307928524
75099.32403355616,131532.00495937016
205919.12768505,166546.81508839363
134836.78997864123,141080.50743509727
179551.2107339016,196248.85925621015
63351.8882877424,128728.14090240316
187437.64912155445,185513.40540971165
155548.6533763718,133097.22535821
113186.484928486,137823.19005720696
212672.56774215747,194052.59583814983
197507.84465100287,161606.10972065484
172001.8756712245,149033.36248454094
191303.8672835288,147531.92189570685
194696.16085002176,155471.65030739608
195874.0867480821,191868.48131540054
211877.27481225863,181088.52972264134
176476.76182109627,188861.58865315723
147100.91429129895,167880.11891679076
108058.06849197327,153055.16953296983
210517.5905134657,185179.45581669133
203835.98884995256,182601.30464858442
144984.70434629777,136198.7564008451
130054.18407051692,155053.89787861204
142291.44215667265,190921.13153473148
162645.03406452225,152288.568165775
194000.51258387268,132356.0403122983
213886.04344994825,150931.9598586775
89294.08962331024,131227.03515664153
154349.5773170173,157836.67657847184
179626.25499167707,199504.3432730424
150341.6929014183,158193.8340725088
206643.2491314784,161883.92375239934
134233.44858642374,160769.48656194215
106948.5909939244,147394.26925075843
150919.22937216127,180333.4680747583
184411.9773007356,195799.88519366385
205125.13975363853,191465.23929042835
173719.79582802267,180759.79484129336
149603.06438335867,155323.57018860395
194297.7272036337,148411.19655213738
126897.6059929797,156224.83253239113
195594.9329119665,142873.91857017964
154628.64893501336,170040.46474283258
194842.37714944896,139130.68999678944
209411.1980285368,176382.0971405324
184656.39207381703,155731.23016112254
193692.92311055464,150707.4829957302
161613.52646501863,152354.06631231142
154950.6559430217,142929.88933168136
198246.01358335884,174159.49518139267
208482.7382916884,146880.09221786697
86047.37076322376,130396.91800072846
75650.25696983877,138313.52078724772
192253.87528417847,201870.29819971818
203303.07779085828,159792.7579908698
167620.10889685963,169854.09328584105
58448.24750858995,125966.96579453014
202481.9093997947,145369.01307180294
163569.8371734173,205677.1706390646
154684.2599836609,132968.0904313691
188936.21799927184,145875.60303012727
176162.7391638338,184615.02237240423
161893.16093584703,139058.2717041931
-8238.884498829517,155463.3218815224
152277.71050638318,133159.72740318516
129905.45241985556,156326.6405387165
192262.54447668523,146340.0919921283
215052.9276850324,157385.1546834309
139202.08385890667,139050.0852826432
107546.48928628188,129744.70565188798
210427.72973763183,167014.49869229
167354.27285272515,148632.0975671106
150125.6605238371,159852.19961509516
112561.1638293264,151008.63086874073
149049.40284211305,180663.82215986072
181197.3316011368,137412.33957946085
166492.92352080226,133945.63542191344
172312.22640914508,166955.05612167926
201203.4582500016,211131.42918391578
169292.19823700658,161038.85647418146
91001.75417054068,134874.3110840724
187280.9143094651,183513.5977846401
186890.9468556012,141315.73606642726
215355.28361820136,182607.90282517896
68423.28375348951,161149.20412685856
155797.5491577423,138332.8988963758
165945.7672321871,168170.82741541066
125942.49918567756,130534.49385924861
210238.67361949256,169881.3997430343
145935.75193000725,153348.82516537432
208800.4412219617,191407.41462851697
172457.83336997218,135516.53878421133
191615.08511081364,187176.5554307411
208217.61983573783,163170.94426066818
207905.4340256786,179371.98685955667
106368.47841131636,130523.52177749638
194304.0992061732,152705.11196409003
112587.42650868716,135135.12747055266
157293.51094732882,148533.7503649759
192436.58603816613,203824.68969640674
155957.83394600134,154428.1211892899
140038.12561077526,161323.42457841017
162796.51432294052,143164.62641895146
161123.59204593927,162105.22506718023
81066.55358221519,130825.12462505481
207972.56924257736,179654.291737467
85660.50372290658,138961.33940836135
154885.5115550252,127604.19550427339
139486.18479401988,144312.00024344947
152388.73440826044,131321.9130399666
177786.73576088008,150120.85547316168
211309.08776040623,182675.86376374535
152812.77298543288,152828.59710887232
202239.6885697144,194989.29485668402
149699.87678937672,143883.75182063138
159669.33616270425,135895.77441403936
68358.84804275545,166437.85611496033
121617.01875149691,141442.47346217104
201477.5480384717,143863.90045830022
211086.38894953264,156221.84889806958
184293.60242340327,138163.29732011486
152268.77355044096,130714.57126275866
89140.1593585969,142951.92880912824
201021.6710132361,163073.17826986813
158653.67378333214,163624.1202684081
201640.0848829245,161675.9325916681
139077.97782758647,156201.82363087113
190547.14751369413,172378.54560064996
125106.62888398566,159214.30532131836
102413.43357010164,130012.1684492582
149632.74655615003,142833.75887838774
139365.69308348998,146212.42093936706
130684.9090844619,139726.25505885118
210096.74978841527,209452.2705422652
94019.17812383396,140350.49492069823
86933.04784135809,140367.22683596995
202779.7545867599,181323.753440785
144942.52877690984,166002.20978313853
151609.4064017072,184846.15554418977
204729.66249250888,197769.0497199641
197010.473716068,173113.19833306962
202087.01738437728,142213.68381134933
81784.41293574704,140716.88410504212
206118.5119280384,211451.93405288405
114178.72678514331,133701.45998833192
163833.09193660188,162354.27247401417
175677.1291318638,154683.19162165804
171488.99020490184,142316.88079345584
187904.6544507015,138146.3278736727
183812.74154765985,166144.8476406262
182474.61790454813,174035.61025533918
163527.31154945324,181115.3619802461
118486.93025200049,141682.6591695547
191142.07731024604,170633.28838072874
117873.3665121376,145722.41290763186
185899.80052274128,205936.8275757567
207466.2666283629,202459.49531315867
82732.19559084564,147789.39071728327
131146.00618174177,176042.02357050605
136269.95397557603,153933.73795734192
87366.31894175327,129718.6167290482
135448.29694739252,151829.4145369223
91361.7767109512,146355.49495199235
210950.8683297405,158572.40367253663
194317.1752595456,163462.90773592284
193700.0416327997,171519.46844105958
173724.21741999345,151288.0615662618
125385.67063042616,149795.788264913
130609.28702283374,162964.78047229617
170558.74881905876,166716.39184976302
113879.64352232109,135691.97719332427
